"35.74844513,139.73395482",滝野川二
"35.75258923,139.72504375",北養護学校
"35.74771448,139.71600990",板橋一
"35.75074264,139.71734743",板橋四
"35.71786234,139.71581146",鬼子母神
"35.73015942,139.72301123",東池袋三
"35.71681977,139.71811560",高田一
"35.71939644,139.73416322",大塚二
"35.72077641,139.74024817",湯立坂下
"35.74309111,139.69956379",南町住宅
"35.73280847,139.70277973",池袋二
"35.74807504,139.69188175",日大病院
"35.73783725,139.68589768",千早四
"35.73623171,139.68448183",千早高
"35.75165723,139.69306381",大谷口上町
"35.74497906,139.69007287",水道タンク前
"35.74355930,139.68920273",大谷口二
"35.74180919,139.68816322",板橋高入口
"35.71950285,139.68970732",中落合二
"35.74093663,139.69360484",千川二
"35.73408320,139.69495179",要小
"35.72240657,139.69250572",目白五
"35.74663412,139.69984866",第六小学校
"35.73983631,139.69852730",高松小
"35.73993870,139.70000421",南町仲通り
"35.74423835,139.70284895",中丸町坂上
"35.74227980,139.70421302",板橋第五小
"35.72254769,139.70240238",下落合三
"35.75115271,139.70859102",板橋区役所
"35.74483102,139.70835070",金井窪
"35.73209166,139.70550712",国際興業総合案内所
"35.72674575,139.71178954",南池袋三
"35.73598557,139.71961810",上池袋一
"35.73248497,139.71864785",六ツ又陸橋
"35.71586185,139.72098659",日本女子大
"35.75156623,139.72736771",中央公園
"35.75079111,139.72953090",滝野川住宅
"35.71699188,139.72852955",音羽二
"35.72025565,139.72768377",護国寺正門
"35.72877720,139.73183917",巣鴨小
"35.72141960,139.73194311",大塚三
"35.72646928,139.73457987",南大塚一
"35.73220058,139.74006785",巣鴨駅南口
"35.73080737,139.74151706",本駒込六
"35.71237651,139.74337186",春日二
"35.72858451,139.74393814",千石一
"35.71670139,139.74578466",白山二
"35.72682832,139.74650127",本駒込二
"35.72932031,139.71692394",サンシャインシティ
"35.73059734,139.70868132",池袋駅西口
"35.72944922,139.71233501",池袋駅東口（西武百貨店）
"35.72282055,139.68944713",南長崎二
"35.71520033,139.72937274",音羽一
"35.72387120,139.71160738",東京音楽大前
"35.72507549,139.73972146",千石二
"35.74657960,139.71972533",板橋駅
"35.73453052,139.73713535",とげぬき地蔵
"35.71719854,139.73776412",茗荷谷駅
"35.73084354,139.72919803",大塚駅
"35.73095056,139.71414492",池袋駅東口
"35.71981290,139.71133982",目白警察署
"35.72203957,139.70600779",目白駅
"35.71336811,139.70493009",高田馬場駅
"35.71216161,139.70714405",戸塚特別出張所
"35.71553852,139.69445732",下落合駅
"35.71522712,139.68687735",中井駅
"35.72474744,139.69458903",椎名町駅南口
"35.72757682,139.69643041",椎名町駅北口
"35.73298449,139.69967678",要町駅
"35.73775521,139.71259759",豊島清掃事務所
"35.73956268,139.68741414",千川駅
"35.72238266,139.72319364",雑司が谷霊園
"35.73722876,139.73454887",巣鴨四
"35.75056867,139.73716762",飛鳥山
"35.75192464,139.73046090",紅葉橋南
"35.75133670,139.69602715",仲町区民事務所
"35.73045864,139.74674380",文京グリーンコート
"35.73543892,139.69303061",要町二
"35.71383028,139.74124308",小石川四
"35.71865511,139.74275330",白山三
"35.73309012,139.73887239",巣鴨駅
"35.72764066,139.71621028",東池袋一
"35.73558454,139.69425920",富士神社入口
"35.71198356,139.71723549",甘泉園公園
"35.73467583,139.74623244",南北線駒込駅
"35.73258066,139.74330028",本駒込六
"35.72790996,139.74476146",千石駅
